tweet_text,emotion_in_tweet_is_directed_at,is_there_an_emotion_directed_at_a_brand_or_product,clean_text
Nice!  RT @mention Apple opening popup store for iPad launch in downtown Austin during #SXSW {link} via @mention,,No emotion toward brand or product,nice! rt apple opening popup store for ipad launch in downtown austin during #sxsw via
Google #h4ckers audience 95% male- devs are smart (&amp; easy when there's free alcohol) ;) #SXSW  @mention Speakeasy {link},,No emotion toward brand or product,google #h4ckers audience 95% male- devs are smart (&amp; easy when there's free alcohol) ;) #sxsw speakeasy
Interesting post re #seo RT @mention How to improve website rankings: Advice from Google &amp; Bing at #SXSW {link} ^SE,,No emotion toward brand or product,interesting post re #seo rt how to improve website rankings: advice from google &amp; bing at #sxsw ^se
"Saving up for iPad2 photo at Apple Store, #SXSW {link}  by @mention @mention @mention @mention @jerranalley @tbalinas",,No emotion toward brand or product,"saving up for ipad2 photo at apple store, #sxsw by"
Why is all the prizes at #SXSW apple products? Sigh,Apple,Negative emotion,why is all the prizes at #sxsw apple products? sigh
It's not all Apple love here at #sxsw. Heard quite a bit of grumbling about holding back features on iPad 1 so people would have to buy v2.,Apple,Negative emotion,it's not all apple love here at #sxsw. heard quite a bit of grumbling about holding back features on ipad 1 so people would have to buy v2.
I hope everyone has an awesome weekend at #SXSW! I know @mention is giving away some great Apple prizes.,Apple,Positive emotion,i hope everyone has an awesome weekend at #sxsw! i know is giving away some great apple prizes.
#tech iPad 2 Gets Temporary #Apple_Store for #SXSW {link},iPad,Positive emotion,#tech ipad 2 gets temporary #apple_store for #sxsw
Come celebrate w/ Charity Water tonight! (Google is throwin the party). Jump start your #sxsw week off right! studentsforcleanwater.org/rsvp,Google,Positive emotion,come celebrate w/ charity water tonight! (google is throwin the party). jump start your #sxsw week off right! studentsforcleanwater.org/rsvp
RT @mention You can download a free @mention sampler of some of the bands playing at #SXSW here: {link},,No emotion toward brand or product,you can download a free sampler of some of the bands playing at #sxsw here:
Anyone got any news on the #Google Circles social networking announcement at #sxsw ?,,No emotion toward brand or product,anyone got any news on the #google circles social networking announcement at #sxsw ?
RT @mention Happy #SXSW! Can't make it to Austin? Download the free featured artists of SXSW playlist on @mention {link},,No emotion toward brand or product,happy #sxsw! can't make it to austin? download the free featured artists of sxsw playlist on
Hmmm is it a bit weird that #sxsw is not tending but Google Circle is?,,No emotion toward brand or product,hmmm is it a bit weird that #sxsw is not tending but google circle is?
Google's Mayer: Google Map's Route Around feature saves 2 yrs of drive time every day.  I missed the amount of gas that saves. Anyone? #sxsw,Other Google product or service,Positive emotion,google's mayer: google map's route around feature saves 2 yrs of drive time every day. i missed the amount of gas that saves. anyone? #sxsw
@mention An iPad is cheaper than most laptops. #newsapps #sxsw,iPad,Positive emotion,an ipad is cheaper than most laptops. #newsapps #sxsw
"On the way to #sxsw, see you all tonight! hopefully with a new ipad ;) (@mention San Francisco International Airport (SFO)) {link}",iPad,Positive emotion,"on the way to #sxsw, see you all tonight! hopefully with a new ipad ;) ( san francisco international airport (sfo))"
Leaving excellent panel from @mention on Writing Compelling Content. On to the Android Dev. Meetup! #SXSW,,No emotion toward brand or product,leaving excellent panel from on writing compelling content. on to the android dev. meetup! #sxsw
Has spontaniety in life been replaced by technology? When your iPhone battery dies you go home. Great ? At #busy #sxsw,iPhone,No emotion toward brand or product,has spontaniety in life been replaced by technology? when your iphone battery dies you go home. great ? at #busy #sxsw
#sxswnui #sxsw #apple defining language of touch with different dialects becoming smaller,,No emotion toward brand or product,#sxswnui #sxsw #apple defining language of touch with different dialects becoming smaller
@mention I thought that was the point of having an iPad - carrying it around at #sxsw,,No emotion toward brand or product,i thought that was the point of having an ipad - carrying it around at #sxsw
GSD&amp;M &amp; Google's Industry Party Tonight @mention - See u there! {link} #SXSW #Austin #Welivehere #GSDM,,No emotion toward brand or product,gsd&amp;m &amp; google's industry party tonight - see u there! #sxsw #austin #welivehere #gsdm
"#futuremf @mention {link} spec for recipes on the web, now in google search: {link}  #sxsw",,No emotion toward brand or product,"#futuremf spec for recipes on the web, now in google search: #sxsw"
#POURsite #SXSW learning about the life-changing impact of the iPad on real people's actual lives - bravo!,iPad,Positive emotion,#poursite #sxsw learning about the life-changing impact of the ipad on real people's actual lives - bravo!
Most press coverage I've had in my life? Standing in the Apple line... #sxsw,Apple,Positive emotion,most press coverage i've had in my life? standing in the apple line... #sxsw
"WHO WANTS TO DO A SONG,LETS WORK. 
GOOGLE ME MR 285 #SXSW",,No emotion toward brand or product,"who wants to do a song,lets work. google me mr 285 #sxsw"
"LOL, I don't see a single PC user around me���just Macbooks and iPads. Web devs are definitely Apple folks. #sxsw #apple",Apple,Positive emotion,"lol, i don't see a single pc user around me���just macbooks and ipads. web devs are definitely apple folks. #sxsw #apple"
Marissa Mayer: 40% Of Google Maps Usage Is Mobile (And There Are 150 Million Mobile��Users) {link} via @mention #SXSW $GOOG,,No emotion toward brand or product,marissa mayer: 40% of google maps usage is mobile (and there are 150 million mobile��users) via #sxsw $goog
Thanks to @mention for publishing the news of our new medical Apps in the #sxswi conf. blog {link} #sxsw #sxswh #mhealth,,No emotion toward brand or product,thanks to for publishing the news of our new medical apps in the #sxswi conf. blog #sxsw #sxswh #mhealth
One of the best photo apps for the iPhone ��� Hipstamatic ��� is getting ...  #apps #sxsw #hipstamatic {link},iPad or iPhone App,Positive emotion,one of the best photo apps for the iphone ��� hipstamatic ��� is getting ... #apps #sxsw #hipstamatic
RT @mention Spotted at #SXSW: Man in need of an iPad (2?) ��� {link} #sxswi,iPad,Positive emotion,spotted at #sxsw: man in need of an ipad (2?) ��� #sxswi
"Line for the iPad 2, at the Apple Store. No demo units until 5pm. #sxsw #fb {link} {link}",iPad,Positive emotion,"line for the ipad 2, at the apple store. no demo units until 5pm. #sxsw #fb"
"@mention I try to stay awake! :D I'm trying to get Ustream working on iPhone, see your badge/picture now is dat right? #kickoffparty  #sxsw",,No emotion toward brand or product,"i try to stay awake! :d i'm trying to get ustream working on iphone, see your badge/picture now is dat right? #kickoffparty #sxsw"
Waiting for bestie to come out of @mention popup store with our iPad 2's:) #SXSW #apple #iPad2,iPad,Positive emotion,waiting for bestie to come out of popup store with our ipad 2's:) #sxsw #apple #ipad2
I can't believe what google just announced at Maggie Maes. Game changer for sure. #sxsw,Google,Positive emotion,i can't believe what google just announced at maggie maes. game changer for sure. #sxsw
Questions about what's inside the iPad 2? Fire them my way. #sxsw,,No emotion toward brand or product,questions about what's inside the ipad 2? fire them my way. #sxsw
#SXSW Rumor: Google employees are given a travel budget per city. If they use less they can bank the diff for future trips.,,No emotion toward brand or product,#sxsw rumor: google employees are given a travel budget per city. if they use less they can bank the diff for future trips.
"Just for the record, I am not/was not in an iPad 2 line. I merely passed by while making some minor #sxsw rounds. Home now.",,No emotion toward brand or product,"just for the record, i am not/was not in an ipad 2 line. i merely passed by while making some minor #sxsw rounds. home now."
Pumped to hear @mention dudes talk about logos over the years. Can I make one? #sxsw #Gsdm,,No emotion toward brand or product,pumped to hear dudes talk about logos over the years. can i make one? #sxsw #gsdm
#OMFG! RT @mention Heard about Apple's pop-up store in downtown Austin? Pics are already on Gowalla: {link} #sxsw #iPad2,Apple,Positive emotion,#omfg! rt heard about apple's pop-up store in downtown austin? pics are already on gowalla: #sxsw #ipad2
"RT @mention Apple sets up 5,000-square-foot temporary store at #SXSW to sell new iPads, test potential traffic {link}",,No emotion toward brand or product,"apple sets up 5,000-square-foot temporary store at #sxsw to sell new ipads, test potential traffic"
Apple's #iPad pop-up shop at #SXSW {link},,No emotion toward brand or product,apple's #ipad pop-up shop at #sxsw
"Chimpit party, plutopia, google, maybe a movie. #sxsw starts today for me :)",,No emotion toward brand or product,"chimpit party, plutopia, google, maybe a movie. #sxsw starts today for me :)"
Make sure you bring your business card to the #nonprofit meetup at #sxsw. It's your ticket into our drawing for a $100 Apple gift card.,,No emotion toward brand or product,make sure you bring your business card to the #nonprofit meetup at #sxsw. it's your ticket into our drawing for a $100 apple gift card.
Got a text that @mention hit the reddit front page. From Moonshine I signed up for a data plan and checked it via my iPad. #sxsw #nerds,iPad,Positive emotion,got a text that hit the reddit front page. from moonshine i signed up for a data plan and checked it via my ipad. #sxsw #nerds
Class starts now. #SXSW @mention Designing iPad Interfaces - New Navigation Schemas {link},,No emotion toward brand or product,class starts now. #sxsw designing ipad interfaces - new navigation schemas
Has anyone read or heard anything about Google Circles? #sxsw,,No emotion toward brand or product,has anyone read or heard anything about google circles? #sxsw
The brown paper on the windows as the line grows at the #SXSW PopUp Apple Store by Gold's Gym at Sixth &amp; Congress. {link},,No emotion toward brand or product,the brown paper on the windows as the line grows at the #sxsw popup apple store by gold's gym at sixth &amp; congress.
RT @mention RT @mention RT @mention news Google may launch &quot;social circles&quot; social network today {link} #soccomp #sxsw,,No emotion toward brand or product,rt rt news google may launch &quot;social circles&quot; social network today #soccomp #sxsw
"RT @mention Arriving in the US for #sxsw, will be looking for a MicroSIM for data in my iPhone // recommendations @mention",,No emotion toward brand or product,"arriving in the us for #sxsw, will be looking for a microsim for data in my iphone // recommendations"
RT @mention At the airport playing my fav game:  &quot;Are You Going to #SXSW?&quot; Wearing denim on denim? You're going.  Charging 3+ Apple products? You too.,,No emotion toward brand or product,at the airport playing my fav game: &quot;are you going to #sxsw?&quot; wearing denim on denim? you're going. charging 3+ apple products? you too.
I just got my custome iphone 4 case from @mention #sxsw - the artwork is my favorite blackbook piece by @mention  {link},iPhone,Positive emotion,i just got my custome iphone 4 case from #sxsw - the artwork is my favorite blackbook piece by
It's not a rumor: Apple opening up a temporary store in downtown Austin for #SXSW &amp;iPad 2 launch {link},,No emotion toward brand or product,it's not a rumor: apple opening up a temporary store in downtown austin for #sxsw &amp;ipad 2 launch
Looking for the best iphone app to hail a cab in Austin? (free if possible) #austin #sxsw #iphoneapp,,No emotion toward brand or product,looking for the best iphone app to hail a cab in austin? (free if possible) #austin #sxsw #iphoneapp
Filming with the iPad is so much cooler than a lame iPhone... #sxsw (at @mention live show)  {link},iPad,Positive emotion,filming with the ipad is so much cooler than a lame iphone... #sxsw (at live show)
So I bought an iPad on impulse! Must be something in the water at #sxsw!,iPad,Positive emotion,so i bought an ipad on impulse! must be something in the water at #sxsw!
iPad 2 is the star gadget of SXSW: {link} #sxsw,iPad,Positive emotion,ipad 2 is the star gadget of sxsw: #sxsw
Just saw the huge iPad 2 line at the popup Apple Store. People really really want it. #SXSW,iPad,Positive emotion,just saw the huge ipad 2 line at the popup apple store. people really really want it. #sxsw
iPad 2 Lines 1 and a half blocks at #sxsw popup store  {link},,No emotion toward brand or product,ipad 2 lines 1 and a half blocks at #sxsw popup store
Do i know u? Why u selling to me! Weve never talked. I now Hate your product! RT @mention check out Heyo 4 iPhone #SXSW #SXSWi,iPhone,Negative emotion,do i know u? why u selling to me! weve never talked. i now hate your product! rt check out heyo 4 iphone #sxsw #sxswi
Kicking off the day by checking out the Apple pop up store. #sxsw,,No emotion toward brand or product,kicking off the day by checking out the apple pop up store. #sxsw
Check out the new @mention app {link} - this is gonna be HUGE next week at #sxsw and beyond.,iPad or iPhone App,Positive emotion,check out the new app - this is gonna be huge next week at #sxsw and beyond.
[#SXSW] Temporary apple store is just like a real store... by zbowling {link},,No emotion toward brand or product,[#sxsw] temporary apple store is just like a real store... by zbowling
"Ok, so it's come to building custom MAPS on Google Maps for each night of #SxSW to organize party itineraries. #Productive.",,No emotion toward brand or product,"ok, so it's come to building custom maps on google maps for each night of #sxsw to organize party itineraries. #productive."
@mention did you see my tweet from before re:ipad 2 being sold at #sxsw ?,,No emotion toward brand or product,did you see my tweet from before re:ipad 2 being sold at #sxsw ?
Apple to have pop-up store in Austin. Smart. {link} #sxsw,,No emotion toward brand or product,apple to have pop-up store in austin. smart. #sxsw
Audioboo: American Dream or Bust {link} #iPad #sxsw #bum #begger #us #socialart #Documentally,,No emotion toward brand or product,audioboo: american dream or bust #ipad #sxsw #bum #begger #us #socialart #documentally
HOBO WITH A SHOTGUN iPhone game {link} #sxsw,,No emotion toward brand or product,hobo with a shotgun iphone game #sxsw
"Apple will be opening a temporary Apple Store at 6th and Congress, tomorrow March 11 for iPad sales, so you don't have to miss SXSW! #sxsw",,No emotion toward brand or product,"apple will be opening a temporary apple store at 6th and congress, tomorrow march 11 for ipad sales, so you don't have to miss sxsw! #sxsw"
"Great #SXSW session by Google's Marissa Mayer on their local strategies: Hotpot, 3D Maps, mobile AR #marissagoogle",,No emotion toward brand or product,"great #sxsw session by google's marissa mayer on their local strategies: hotpot, 3d maps, mobile ar #marissagoogle"
At&amp;t set to launch 12 new android phones in 2011. #gsdm #sxsw,,No emotion toward brand or product,at&amp;t set to launch 12 new android phones in 2011. #gsdm #sxsw
Our lovely #SXSW iPhone app is UP! get it now!!! Thanks to @mention for the awesome integration! :D {link},iPad or iPhone App,Positive emotion,our lovely #sxsw iphone app is up! get it now!!! thanks to for the awesome integration! :d
"I'm in! RT @mention RT @mention Google to Launch Major New Social Network Called Circles, Possibly Today {link} #sxsw",,No emotion toward brand or product,"i'm in! rt rt google to launch major new social network called circles, possibly today #sxsw"
mom...I want my ipad 2 back! {link} #thingsthatdontgotogether #sxsw Lisa Rinna,iPad,Positive emotion,mom...i want my ipad 2 back! #thingsthatdontgotogether #sxsw lisa rinna
"Websites visited: 73% Google, 66.7% Microsoft, 50.6% Facebook, 48% Yahoo, 31%, Wikimedia - @mention #diversity #sxsw",,No emotion toward brand or product,"websites visited: 73% google, 66.7% microsoft, 50.6% facebook, 48% yahoo, 31%, wikimedia - #diversity #sxsw"
RT @mention YES! updated iPhone app has song info  @mention 24/7 stream +others also live video streaming for #SXSW {link},iPad or iPhone App,Positive emotion,yes! updated iphone app has song info 24/7 stream +others also live video streaming for #sxsw
This is why social technology is amazing: Google has set up a Person Finder in both English and Japanese: {link} #SXSW,Google,Positive emotion,this is why social technology is amazing: google has set up a person finder in both english and japanese: #sxsw
Or Droid RT @mention Has spontaniety in life been replaced by technology? When your iPhone battery dies you go home. Great ?  #sxsw,iPhone,Negative emotion,or droid rt has spontaniety in life been replaced by technology? when your iphone battery dies you go home. great ? #sxsw
I am jealous to see people with the iPad 2 take photos with it. #IwantaCameraonmyiPad #SXSW,iPad,Positive emotion,i am jealous to see people with the ipad 2 take photos with it. #iwantacameraonmyipad #sxsw
"Following #sxsw Tweets on Google Realtime, four platforms on Tweet Deck and listening to panel, realizing I'm spoken to no one here today.",,No emotion toward brand or product,"following #sxsw tweets on google realtime, four platforms on tweet deck and listening to panel, realizing i'm spoken to no one here today."
Among the things I am missing at #sxsw: the Google-ACLU 80's dance party.,Google,Positive emotion,among the things i am missing at #sxsw: the google-aclu 80's dance party.
I heart #iPad 2. {link} #SXSW,iPad,Positive emotion,i heart #ipad 2. #sxsw
Google is setting up a bunch of computers at their #SXSW trade show exhibit. Premiere of Google Circles? {link},,No emotion toward brand or product,google is setting up a bunch of computers at their #sxsw trade show exhibit. premiere of google circles?
"Cus!
It's between pacman google, singularity or #sxsw noobs meetup",,No emotion toward brand or product,"cus! it's between pacman google, singularity or #sxsw noobs meetup"
"#smtravel hasn't heard - Google plans to launch a socnet in May - &quot;Circles&quot;. They have learned a lot in 5 years, lots has changed. via #sxsw",Google,Positive emotion,"#smtravel hasn't heard - google plans to launch a socnet in may - &quot;circles&quot;. they have learned a lot in 5 years, lots has changed. via #sxsw"
come over to the Tech Cocktail event tonight to check out our Mobile Smackdown event! #sxsw #iphone #android #windowsphone,,No emotion toward brand or product,come over to the tech cocktail event tonight to check out our mobile smackdown event! #sxsw #iphone #android #windowsphone
Phrase of the day iPhone ready android coming #sxsw,,No emotion toward brand or product,phrase of the day iphone ready android coming #sxsw
Is anyone else using #hashable to network at #sxsw this week? Trying out the android version...,,No emotion toward brand or product,is anyone else using #hashable to network at #sxsw this week? trying out the android version...
LaunchRock is launching an iPad in the sky 4 grabs @mention #SXSW! Click 2 find the location! #launch {link} via @mention,,No emotion toward brand or product,launchrock is launching an ipad in the sky 4 grabs #sxsw! click 2 find the location! #launch via
RT @mention We're at the Lustre Pearl getting ready for our presentation at the Team Android Awards #sxsw,,No emotion toward brand or product,we're at the lustre pearl getting ready for our presentation at the team android awards #sxsw
Why the Apple pop-up shop at #SxSW sucks: {link},Apple,Negative emotion,why the apple pop-up shop at #sxsw sucks:
@mention check into some of the new chatting/texting startups that are coming out of #SXSW {link} (re:iphone chat client),,No emotion toward brand or product,check into some of the new chatting/texting startups that are coming out of #sxsw (re:iphone chat client)
Pre-order the @mention 'Humorous To Bees' LP on @mention Catch them this month @mention &amp; @mention {link} #sxsw,,No emotion toward brand or product,pre-order the 'humorous to bees' lp on catch them this month &amp; #sxsw
Sweet... Apple listened to us!  A temp Apple Store near #SXSW for iPad2 launch!  {link},Apple,Positive emotion,sweet... apple listened to us! a temp apple store near #sxsw for ipad2 launch!
@mention I was there ~5:30 and the line was around the block. Decided to forgo iPad 2 goodness for food. #sxsw #apple,iPad,Positive emotion,i was there ~5:30 and the line was around the block. decided to forgo ipad 2 goodness for food. #sxsw #apple
Great night of Interactive parties. And Congress Ave is amazing with the Apple store! #sxsw #apple,Apple,Positive emotion,great night of interactive parties. and congress ave is amazing with the apple store! #sxsw #apple
I just heard that iPads are sold out (except for a few) at Apple pop-up store #sxsw True?,,No emotion toward brand or product,i just heard that ipads are sold out (except for a few) at apple pop-up store #sxsw true?
"I believe a few went to Aussies at #sxsw RT @mention iPad 2 Sold Out, 70% Went to New Buyers [REPORT] - {link}",,No emotion toward brand or product,"i believe a few went to aussies at #sxsw rt ipad 2 sold out, 70% went to new buyers [report] -"
Just took a survey on iPhone while in Starbucks line. Got a free Starbucks gift card. Instant research. Instant gratification. #sxsw #gsdm,,No emotion toward brand or product,just took a survey on iphone while in starbucks line. got a free starbucks gift card. instant research. instant gratification. #sxsw #gsdm
"RT @mention Tomorrow's panel on #CSS panel features folks from Opera, Chrome, IE, Mozilla and W3C. Apple is downstairs selling iPads. Ahem. #sxsw #apple",,No emotion toward brand or product,"tomorrow's panel on #css panel features folks from opera, chrome, ie, mozilla and w3c. apple is downstairs selling ipads. ahem. #sxsw #apple"
Awesome. Lost colleague. Left iphone in car. #fail #sxsw,,No emotion toward brand or product,awesome. lost colleague. left iphone in car. #fail #sxsw
RT &gt; @mention Guy gets tattoo at SXSW so he could win a free iPad2 {link} #sxsw #tattoo #ipad #internet,,No emotion toward brand or product,&gt; guy gets tattoo at sxsw so he could win a free ipad2 #sxsw #tattoo #ipad #internet
USA Today on iPad: makes good use of digital shortcuts while still looking like a newspaper. @mention #tapworthy #sxsw,iPad,Positive emotion,usa today on ipad: makes good use of digital shortcuts while still looking like a newspaper. #tapworthy #sxsw
Pop-up Apple Store seems to be out of pop-up iPad2s. #SXSW,Apple,Negative emotion,pop-up apple store seems to be out of pop-up ipad2s. #sxsw
Totally love the copia cocoon messenger iPad bag I picked up for attending the redbox/gilt group/graphic.ly sesh this morning! #sxsw,Other Apple product or service,Positive emotion,totally love the copia cocoon messenger ipad bag i picked up for attending the redbox/gilt group/graphic.ly sesh this morning! #sxsw
Late night security guard at #sxsw popup Apple store {link},,No emotion toward brand or product,late night security guard at #sxsw popup apple store
It's official: people using the iPad 2 to take photos just look weird. #SXSW,iPad,Negative emotion,it's official: people using the ipad 2 to take photos just look weird. #sxsw
Leaving Google's Marissa Mayer Keynote. Interesting details on user adoption of location-aware services. #sxsw,Google,Positive emotion,leaving google's marissa mayer keynote. interesting details on user adoption of location-aware services. #sxsw
Mayer admits that Google needs to &quot;consolidate&quot; some of its products ��� namely Latitude and Hotpot ��� into &quot;features of products&quot; #sxsw,,No emotion toward brand or product,mayer admits that google needs to &quot;consolidate&quot; some of its products ��� namely latitude and hotpot ��� into &quot;features of products&quot; #sxsw
I feel like I'm in an apple commercial waiting in line to fly to #sxsw,,No emotion toward brand or product,i feel like i'm in an apple commercial waiting in line to fly to #sxsw
@mention Thank you Bart for retweeting my iPad 2 &amp; Startup #SXSW Tweets. Are you excited for an iPad 2?,iPad,Positive emotion,thank you bart for retweeting my ipad 2 &amp; startup #sxsw tweets. are you excited for an ipad 2?
"RT @mention RT @mention Apple is &quot;the classiest, fascist company in America,&quot; says @mention #sxsw",Apple,Negative emotion,"rt apple is &quot;the classiest, fascist company in america,&quot; says #sxsw"
The Apple #iPAD2  has taken #SxSW and #Austin by storm.. {link}  @mention excited to a be a part #mobile,iPad,Positive emotion,the apple #ipad2 has taken #sxsw and #austin by storm.. excited to a be a part #mobile
@mention thought you may be interested in this #sxsw session &quot;Your Mom Has an iPad: Designing for Boomers&quot;,,No emotion toward brand or product,thought you may be interested in this #sxsw session &quot;your mom has an ipad: designing for boomers&quot;
"@mention or anyone heading to #sxsw If you have Android/iPhone, install &quot;cab4me&quot;. 
{link}",,No emotion toward brand or product,"or anyone heading to #sxsw if you have android/iphone, install &quot;cab4me&quot;."
"Get on it! Join actsofsharing.com starting tonight, the person with the most friends in their city by end of #SXSW wins an iPad 2! #local",,No emotion toward brand or product,"get on it! join actsofsharing.com starting tonight, the person with the most friends in their city by end of #sxsw wins an ipad 2! #local"
RT @mention Strange how little Japan news penetrates #SXSW bubble. Only bar TVs on CNN suggest anything .. than iPad 2 is going on.,,No emotion toward brand or product,strange how little japan news penetrates #sxsw bubble. only bar tvs on cnn suggest anything .. than ipad 2 is going on.
@mention I'm guessing there will not be an #Android app in time for #SXSW?,Android App,Negative emotion,i'm guessing there will not be an #android app in time for #sxsw?
The pressure (ahem... excuse) to buy mounts RT: @mention iPad 2 is the Must-Have Gadget at #SXSW {link} via @mention,iPad,Positive emotion,the pressure (ahem... excuse) to buy mounts rt: ipad 2 is the must-have gadget at #sxsw via
"Grab @mention for #betainvites #sxsw! @mention new Android camera, raises $1.1M from Valley players bit.ly/eA1zgD /via @mention",Android,Positive emotion,"grab for #betainvites #sxsw! new android camera, raises $1.1m from valley players bit.ly/ea1zgd /via"
Or all the above? RT @mention setting up temp store at #SXSW 2 sell #iPad2- Crazy?Brilliant?Convenient? {link} #SXSWi,,No emotion toward brand or product,or all the above? rt setting up temp store at #sxsw 2 sell #ipad2- crazy?brilliant?convenient? #sxswi
"OH at #sxsw. Oh, that's just an iPad 1, I thought he was #winning.",iPad,Positive emotion,"oh at #sxsw. oh, that's just an ipad 1, i thought he was #winning."
"Best Hungry at #sxsw Tip: Mekong River, great Vietnamese {link} 6th btw Brazos &amp; San Jacinto till 11pm via @mention",,No emotion toward brand or product,"best hungry at #sxsw tip: mekong river, great vietnamese 6th btw brazos &amp; san jacinto till 11pm via"
2 years of time saved every day by people qho use google maps &quot;route around&quot; feature #sxsw,Other Google product or service,Positive emotion,2 years of time saved every day by people qho use google maps &quot;route around&quot; feature #sxsw
#tech #Apple Opening Pop-Up Store In Austin For #SXSW {link} #technology,,No emotion toward brand or product,#tech #apple opening pop-up store in austin for #sxsw #technology
"Google to Launch Major New Social Network Called Circles, Possibly Today {link}",Google,Positive emotion,"google to launch major new social network called circles, possibly today"
"hoping a #blackberry or #sprint popup store opens up so i can get an xtra battery.  Yes, I still have sprint and a blackberry #sxsw #apple",,No emotion toward brand or product,"hoping a #blackberry or #sprint popup store opens up so i can get an xtra battery. yes, i still have sprint and a blackberry #sxsw #apple"
iPad 2 turned into giant camera looks plain stupid #sxsw,iPad,Negative emotion,ipad 2 turned into giant camera looks plain stupid #sxsw
&quot;the future of touch user interface design&quot; wondering if the presentation (by microsoft employees) will mention the ipad. #sxsw,,No emotion toward brand or product,&quot;the future of touch user interface design&quot; wondering if the presentation (by microsoft employees) will mention the ipad. #sxsw
"Xcitng: RT @mention #SxSW approaching &amp; so are our soft launch plans.#Android demo running,flyers printed and T-shirts packed for #Austin",,No emotion toward brand or product,"xcitng: rt #sxsw approaching &amp; so are our soft launch plans.#android demo running,flyers printed and t-shirts packed for #austin"
@mention ouch. Looks like I might be able to grab one at the #SXSW temp Apple store,iPad,Positive emotion,ouch. looks like i might be able to grab one at the #sxsw temp apple store
"Are you going to be at #SXSW and wish you could purchase an iPad 2?

Not to worry! - {link} 

Well played Apple. Well played.",iPad,Positive emotion,are you going to be at #sxsw and wish you could purchase an ipad 2? not to worry! - well played apple. well played.
iPhone GPS is messed up. Thinks I'm in Yonkers. Almost as good as #SXSW. {link},iPhone,Negative emotion,iphone gps is messed up. thinks i'm in yonkers. almost as good as #sxsw.
#SXSW crowd swarms for iPad 2 launch  | @mention {link},iPad,Positive emotion,#sxsw crowd swarms for ipad 2 launch |
Google looking to launch new social {link} #sxsw #in,,No emotion toward brand or product,google looking to launch new social #sxsw #in
Google Labs' Fusion Tables made Election Day Foursquare visualization possible #SXSW ^PR,Other Google product or service,Positive emotion,google labs' fusion tables made election day foursquare visualization possible #sxsw ^pr
"Google to Launch Major New Social Network Called Circles, but not at #SXSW by @mention {link} via @mention",,No emotion toward brand or product,"google to launch major new social network called circles, but not at #sxsw by via"
"Google to Launch Major New Social Network Called Circles, Possibly Today by @mention {link} via @mention   #SXSW #ScreenFuture",,No emotion toward brand or product,"google to launch major new social network called circles, possibly today by via #sxsw #screenfuture"
I love how #sxsw is an alt universe where everyone uses Apple products and @mention is the fastest way to reach someone,Apple,Positive emotion,i love how #sxsw is an alt universe where everyone uses apple products and is the fastest way to reach someone
Woot! RT @mention First Android @mention disc {link} ... Market version coming soon! #SXSW,Android,Positive emotion,woot! rt first android disc ... market version coming soon! #sxsw
Google to launch social network &quot;Circles&quot; - denies launch at #sxsw though. {link} #google #circles,,No emotion toward brand or product,google to launch social network &quot;circles&quot; - denies launch at #sxsw though. #google #circles
"We missed this, @mention Check out Google Doodles: Burning Man to Pac-Man and Beyond. 
{link} #SXSW",,No emotion toward brand or product,"we missed this, check out google doodles: burning man to pac-man and beyond. #sxsw"
And for de Ipad :D?? RT @mention New #UberSocial for #iPhone now in the App Store includes UberGuide to #SXSW  {link},,No emotion toward brand or product,and for de ipad :d?? rt new #ubersocial for #iphone now in the app store includes uberguide to #sxsw
hahahahah that's funny RT @mention Never seen so many heads turn at one point. Someone from #Apple asks a question to Reid Hoffman #SXSW,,No emotion toward brand or product,hahahahah that's funny rt never seen so many heads turn at one point. someone from #apple asks a question to reid hoffman #sxsw
Find where @mention is playing at #SXSW on the #eventseekr app for Android. We got u! {link},Android App,Positive emotion,find where is playing at #sxsw on the #eventseekr app for android. we got u!
What happened to the Taxi Magic iPhone app? Now all I can do is call the cabs via it #sxsw,iPad or iPhone App,Negative emotion,what happened to the taxi magic iphone app? now all i can do is call the cabs via it #sxsw
"RE: group chat apps for #SXSW, now been told to d/l two more apps (not yet avail on Android). This point, I'll need phone JUST for apps.",,No emotion toward brand or product,"re: group chat apps for #sxsw, now been told to d/l two more apps (not yet avail on android). this point, i'll need phone just for apps."
Talking social media monitoring platforms; SM2 vs Radian6 vs Google Analytics #smmnextgen #sxsw -- right in line w/ a convo I had last night,,No emotion toward brand or product,talking social media monitoring platforms; sm2 vs radian6 vs google analytics #smmnextgen #sxsw -- right in line w/ a convo i had last night
"RT @mention Shiny new @mention @mention @mention apps, a new @garyvee book, pop-up iPad 2 stores... #SXSW is Christmas for nerds.",,No emotion toward brand or product,"shiny new apps, a new book, pop-up ipad 2 stores... #sxsw is christmas for nerds."
Imagine this is only sight ok during #SXSW... RT @mention Homeless guy panhandling for an iPad 2 america is fucked  {link},,No emotion toward brand or product,imagine this is only sight ok during #sxsw... rt homeless guy panhandling for an ipad 2 america is fucked
&quot;I'm too fond of my iPad.&quot; - @mention #sxswi #SXSW,iPad,Positive emotion,&quot;i'm too fond of my ipad.&quot; - #sxswi #sxsw
I fear no iphone + #att 3gs slowpoke network during #sxsw &amp; #sxswmusic.,iPhone,Positive emotion,i fear no iphone + #att 3gs slowpoke network during #sxsw &amp; #sxswmusic.
